Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
2.208409706821916,1.1105182569051057,"106 Lawrence Crescent Hill Park, Auckland",5.686931244702512,13.77468856344402,-37.0129205,174.90406940000003,7009770,10.624858567479729,6.505292391153637,6.320154262849238,7.299772142340108,8.12241128817899,5.907409525733242,Manurewa,20.5473717909686,6.0
2.208409706821916,1.1105182569051057,"8 Corsica Way Karaka, Auckland",5.510635490129717,14.038654109278484,-37.0636724,174.9229121,7009991,9.867464202797436,5.212512913879303,4.208266318894455,7.299772142340108,5.943190082557632,7.1869599008551175,Karaka,17.66968939375128,1.0
2.553119807651975,1.4052878959918051,"243 Harbourside Drive Karaka, Auckland",5.588834177827853,14.038654109278484,-37.06357970000001,174.9240444,7009991,9.867464202797436,5.212512913879303,4.208266318894455,7.299772142340108,5.943190082557632,7.1869599008551175,Karaka,17.66968939375128,1.0
0.7914060876891122,1.0000000826913506e-10,"2/30 Hardington Street Onehunga, Auckland",3.805080137786311,13.514405465180353,-36.9129964,174.78742490000005,7007871,9.867464202797436,2.5534771149020385,5.8674419430302684,7.299772142340108,5.080961874119846,4.855268992290836,Onehunga,17.030652693359915,2.0
1.359013494423543,1.0000000826913506e-10,"59 Israel Avenue Clover Park, Auckland",5.558320509343587,13.353475098367715,-36.9790369,174.8926119,7008902,15.138423947522142,6.505292391153637,7.500554007890759,9.146635177114666,7.448178853913591,7.560610668532292,Clover Park,23.655301851808595,9.0
1.359013494423543,1.0000000826913506e-10,"14 Tainui Terrace Mangere Bridge, Auckland",4.158514005383942,13.864300722133706,-36.9439289,174.7805015,7007917,12.317539159200726,4.692195211665663,6.320154262849238,9.699707967816055,9.35912952886131,8.25053933612427,Mangere Bridge,21.749513879984782,4.0
1.359013494423543,1.0000000826913506e-10,"54 Kelmarna Avenue Ponsonby, Auckland",5.465261829783314,14.741751620691597,-36.8492389,174.73445130000005,7004908,8.611187017511849,4.101887387811977,5.373484878574275,5.00103583286415,5.943190082557632,3.5033933217110365,Ponsonby,15.668544493912748,4.0
1.359013494423543,0.6978740502332403,"39 Rawhiti Road One Tree Hill, Auckland",5.952894055452118,14.151982794585487,-36.9077,174.7960425,7005903,9.048601537785366,7.2215013514660376,8.18132710554022,7.299772142340108,5.080961874119846,6.3654081003427345,One Tree Hill,19.82442565933384,4.0
1.359013494423543,0.6978740502332403,"17b Tawa Crescent Manurewa, Auckland",3.9762939714549796,13.071070083016778,-37.0333224,174.89811310000005,7009808,10.253032262621986,6.505292391153637,4.826545294992745,5.00103583286415,5.080961874119846,4.230968171448321,Manurewa,17.45947484180172,10.0
1.8173200822130249,0.6978740502332403,"39a Keegan Drive Massey, Auckland",4.728576789707264,13.399995114002609,-36.8462083,174.62079440000005,7003826,8.151562825033384,6.505292391153637,7.849569498740409,5.839910636076197,8.12241128817899,4.230968171448321,Massey,18.484815453458957,6.0
1.8173200822130249,0.6978740502332403,"39c Keegan Drive Massey, Auckland",4.5845348007169875,13.710150042306449,-36.8462083,174.62079440000005,7003826,8.151562825033384,6.505292391153637,7.849569498740409,5.839910636076197,8.12241128817899,4.230968171448321,Massey,18.484815453458957,6.0
1.8173200822130249,0.6978740502332403,"39b Keegan Drive Massey, Auckland",4.5845348007169875,13.399995114002609,-36.8462083,174.62079440000005,7003826,8.151562825033384,6.505292391153637,7.849569498740409,5.839910636076197,8.12241128817899,4.230968171448321,Massey,18.484815453458957,6.0
1.359013494423543,1.0000000826913506e-10,"9 Menear Lane Hillcrest, Auckland",5.601858933049279,13.732128949025222,-36.7925353,174.7272634,7002805,9.867464202797436,7.2215013514660376,7.849569498740409,9.146635177114666,8.12241128817899,6.3654081003427345,Hillcrest,21.413609929952273,2.0
1.359013494423543,1.0000000826913506e-10,"10 Fairlight Place Manurewa, Auckland",5.6053703617435495,13.253391639810733,-37.0251198,174.87963100000005,7009565,12.932316445969542,7.2215013514660376,6.320154262849238,7.299772142340108,5.943190082557632,3.5033933217110365,Manurewa,20.369266136890463,10.0
1.8173200822130249,0.6978740502332403,"11 Arran Drive Millwater, Auckland",5.6169521040572326,13.955272500339433,-36.9040755,174.69425690000003,7004424,11.332314925934417,8.439997923583775,7.500554007890759,6.599815836480388,6.725919356444759,2.608997896640341,Avondale,20.5473717909686,9.0
1.359013494423543,1.0000000826913506e-10,"53a Kimber Hall Avenue Mount Roskill, Auckland",4.418316994148765,13.997832114758229,-36.9184475,174.7177085,7007562,10.98424851139745,7.5491794209117575,7.131680373741203,6.599815836480388,6.725919356444759,7.914266305354949,Mount Roskill,21.07180658056923,9.0
0.7914060876891122,1.0000000826913506e-10,"1/77 Kimber Hall Avenue Mount Roskill, Auckland",3.923248819992623,13.369223455335854,-36.9185162,174.7192568,7007562,10.98424851139745,7.5491794209117575,7.131680373741203,6.599815836480388,6.725919356444759,7.914266305354949,Mount Roskill,21.07180658056923,9.0
2.208409706821916,1.1105182569051057,"42 Johns Creek Crescent Silverdale, Auckland",5.697270188451301,13.369223455335854,-36.6219389,174.6639437,7001422,10.98424851139745,9.225196116237782,10.641467986060789,7.952193830461668,4.107340966149663,4.230968171448321,Silverdale,23.039408259637217,2.0
2.208409706821916,1.1105182569051057,"4 Ahorangi Road Silverdale, Auckland",5.303742712407152,13.981024996441848,-36.6233277,174.66401430000005,7001422,10.98424851139745,9.225196116237782,10.641467986060789,7.952193830461668,4.107340966149663,4.230968171448321,Silverdale,23.039408259637217,2.0
